site,year,transect,species,SCTLD_suscep,count
cbc30c,2019,1,Ag fragilis,low,0
cbc30c,2019,1,Ag. agaricites,low,74
cbc30c,2019,1,Ag. tenuifolia,low,12
cbc30c,2019,1,Colpo. natans,high,0
cbc30c,2019,1,Dichocoenia ,very high,6
cbc30c,2019,1,Dipl. clivosa,high,0
cbc30c,2019,1,Dipl. labyrinth.,high,0
cbc30c,2019,1,Dipl. strigosa,high,8
cbc30c,2019,1,Eusmilia fast.,very high,0
cbc30c,2019,1,Favia fragum,low,0
cbc30c,2019,1,Helio cuc.,low,0
cbc30c,2019,1,Isophyllia,low,0
cbc30c,2019,1,M. cavernosa,med,8
cbc30c,2019,1,Madracis decac.,low,0
cbc30c,2019,1,Madracis mir.,low,0
cbc30c,2019,1,Meandrina mea.,very high,2
cbc30c,2019,1,Mycetophyllia,low,0
cbc30c,2019,1,Orbicella spp.,med,1
cbc30c,2019,1,P. astreoides,low,45
cbc30c,2019,1,P. porites,low,27
cbc30c,2019,1,Sid. radians,low,2
cbc30c,2019,1,Sid. siderea,med,90
cbc30c,2019,1,Stephanocoenia,med,5
cbc30c,2019,2,Ag fragilis,low,0
cbc30c,2019,2,Ag. agaricites,low,75
cbc30c,2019,2,Ag. tenuifolia,low,36
cbc30c,2019,2,Colpo. natans,high,0
cbc30c,2019,2,Dichocoenia ,very high,1
cbc30c,2019,2,Dipl. clivosa,high,0
cbc30c,2019,2,Dipl. labyrinth.,high,0
cbc30c,2019,2,Dipl. strigosa,high,3
cbc30c,2019,2,Eusmilia fast.,very high,1
cbc30c,2019,2,Favia fragum,low,0
cbc30c,2019,2,Helio cuc.,low,2
cbc30c,2019,2,Isophyllia,low,0
cbc30c,2019,2,M. cavernosa,med,5
cbc30c,2019,2,Madracis decac.,low,0
cbc30c,2019,2,Madracis mir.,low,3
cbc30c,2019,2,Meandrina mea.,very high,1
cbc30c,2019,2,Mycetophyllia,low,0
cbc30c,2019,2,Orbicella spp.,med,8
cbc30c,2019,2,P. astreoides,low,63
cbc30c,2019,2,P. porites,low,44
cbc30c,2019,2,Sid. radians,low,0
cbc30c,2019,2,Sid. siderea,med,48
cbc30c,2019,2,Stephanocoenia,med,6
cbc30c,2022,1,Ag fragilis,low,0
cbc30c,2022,1,Ag. agaricites,low,61
cbc30c,2022,1,Ag. tenuifolia,low,27
cbc30c,2022,1,Colpo. natans,high,0
cbc30c,2022,1,Dichocoenia ,very high,0
