site,year,transect,species,count
CBC 30S,2019,1,Ag. agaricites,74
CBC 30S,2019,1,Ag. tenufolia,10
CBC 30S,2019,1,Ag fragilis,
CBC 30S,2019,1,Ag humilis,
CBC 30S,2019,1,Colpo. natans,
CBC 30S,2019,1,Dichocoenia ,4
CBC 30S,2019,1,Dipl. clivosa,1
CBC 30S,2019,1,Dipl. labyrinth.,
CBC 30S,2019,1,Dipl. strigosa,7
CBC 30S,2019,1,Eusmilia fast.,1
CBC 30S,2019,1,Favia fragum,
CBC 30S,2019,1,Isophyllia,
CBC 30S,2019,1,Helio cuc.,7
CBC 30S,2019,1,Madracis mir.,
CBC 30S,2019,1,Madracis decac.,5
CBC 30S,2019,1,Meandrina mea.,2
CBC 30S,2019,1,M. cavernosa,9
CBC 30S,2019,1,O. faveolata,5
CBC 30S,2019,1,O. franksi,1
CBC 30S,2019,1,O. annularis,8
CBC 30S,2019,1,Mycetophyllia,
CBC 30S,2019,1,Orbicella,
CBC 30S,2019,1,P. astreoides,52
CBC 30S,2019,1,P. porites,16
CBC 30S,2019,1,P. furcata,
CBC 30S,2019,1,Sid. siderea,83
CBC 30S,2019,1,Sid. radians,
CBC 30S,2019,1,Stephanocoenia,20
CBC 30S,2019,1,tot colonies,305
CBC 30S,2019,2,Ag. agaricites,62
CBC 30S,2019,2,Ag. tenufolia,2
CBC 30S,2019,2,Ag fragilis,
CBC 30S,2019,2,Ag humilis,
CBC 30S,2019,2,Colpo. natans,
CBC 30S,2019,2,Dichocoenia ,3
CBC 30S,2019,2,Dipl. clivosa,
CBC 30S,2019,2,Dipl. labyrinth.,
CBC 30S,2019,2,Dipl. strigosa,4
CBC 30S,2019,2,Eusmilia fast.,
CBC 30S,2019,2,Favia fragum,
CBC 30S,2019,2,Isophyllia,
CBC 30S,2019,2,Helio cuc.,3
CBC 30S,2019,2,Madracis mir.,
CBC 30S,2019,2,Madracis decac.,3
CBC 30S,2019,2,Meandrina mea.,3
CBC 30S,2019,2,M. cavernosa,9
CBC 30S,2019,2,O. faveolata,1
CBC 30S,2019,2,O. franksi,
CBC 30S,2019,2,O. annularis,5
CBC 30S,2019,2,Mycetophyllia,
CBC 30S,2019,2,Orbicella,
CBC 30S,2019,2,P. astreoides,29
CBC 30S,2019,2,P. porites,28
CBC 30S,2019,2,P. furcata,
CBC 30S,2019,2,Sid. siderea,59
CBC 30S,2019,2,Sid. radians,
CBC 30S,2019,2,Stephanocoenia,7
CBC 30S,2019,2,tot colonies,218
cbc 30C,2019,1,Ag. agaricites,74
cbc 30C,2019,1,Ag. tenufolia,12
cbc 30C,2019,1,Ag fragilis,
cbc 30C,2019,1,Ag humilis,
cbc 30C,2019,1,Colpo. natans,
cbc 30C,2019,1,Dichocoenia ,6
cbc 30C,2019,1,Dipl. clivosa,
cbc 30C,2019,1,Dipl. labyrinth.,
cbc 30C,2019,1,Dipl. strigosa,8
cbc 30C,2019,1,Eusmilia fast.,
cbc 30C,2019,1,Favia fragum,
cbc 30C,2019,1,Isophyllia,
cbc 30C,2019,1,Helio cuc.,
cbc 30C,2019,1,Madracis mir.,
cbc 30C,2019,1,Madracis decac.,
cbc 30C,2019,1,Meandrina mea.,2
cbc 30C,2019,1,M. cavernosa,8
cbc 30C,2019,1,O. faveolata,
cbc 30C,2019,1,O. franksi,
cbc 30C,2019,1,O. annularis,1
cbc 30C,2019,1,Mycetophyllia,
cbc 30C,2019,1,Orbicella,
cbc 30C,2019,1,P. astreoides,45
cbc 30C,2019,1,P. porites,27
cbc 30C,2019,1,P. furcata,
cbc 30C,2019,1,Sid. siderea,90
cbc 30C,2019,1,Sid. radians,2
cbc 30C,2019,1,Stephanocoenia,5
cbc 30C,2019,1,tot colonies,280
cbc 30C,2019,2,Ag. agaricites,75
cbc 30C,2019,2,Ag. tenufolia,36
cbc 30C,2019,2,Ag fragilis,
cbc 30C,2019,2,Ag humilis,
cbc 30C,2019,2,Colpo. natans,
cbc 30C,2019,2,Dichocoenia ,1
cbc 30C,2019,2,Dipl. clivosa,
cbc 30C,2019,2,Dipl. labyrinth.,
cbc 30C,2019,2,Dipl. strigosa,3
cbc 30C,2019,2,Eusmilia fast.,1
cbc 30C,2019,2,Favia fragum,
cbc 30C,2019,2,Isophyllia,
cbc 30C,2019,2,Helio cuc.,2
cbc 30C,2019,2,Madracis mir.,3
cbc 30C,2019,2,Madracis decac.,
cbc 30C,2019,2,Meandrina mea.,1
cbc 30C,2019,2,M. cavernosa,5
cbc 30C,2019,2,O. faveolata,3
cbc 30C,2019,2,O. franksi,
cbc 30C,2019,2,O. annularis,5
cbc 30C,2019,2,Mycetophyllia,
cbc 30C,2019,2,Orbicella,
cbc 30C,2019,2,P. astreoides,63
cbc 30C,2019,2,P. porites,44
cbc 30C,2019,2,P. furcata,
cbc 30C,2019,2,Sid. siderea,48
cbc 30C,2019,2,Sid. radians,
cbc 30C,2019,2,Stephanocoenia,6
cbc 30C,2019,2,tot colonies,296
cbc 30N,2019,1,Ag. agaricites,61
cbc 30N,2019,1,Ag. tenufolia,20
cbc 30N,2019,1,Ag fragilis,
cbc 30N,2019,1,Ag humilis,
cbc 30N,2019,1,Colpo. natans,
cbc 30N,2019,1,Dichocoenia ,3
cbc 30N,2019,1,Dipl. clivosa,1
cbc 30N,2019,1,Dipl. labyrinth.,
cbc 30N,2019,1,Dipl. strigosa,4
cbc 30N,2019,1,Eusmilia fast.,1
cbc 30N,2019,1,Favia fragum,
cbc 30N,2019,1,Isophyllia,
cbc 30N,2019,1,Helio cuc.,
cbc 30N,2019,1,Madracis mir.,
cbc 30N,2019,1,Madracis decac.,3
cbc 30N,2019,1,Meandrina mea.,1
cbc 30N,2019,1,M. cavernosa,6
cbc 30N,2019,1,O. faveolata,
cbc 30N,2019,1,O. franksi,
cbc 30N,2019,1,O. annularis,5
cbc 30N,2019,1,Mycetophyllia,
cbc 30N,2019,1,Orbicella,
cbc 30N,2019,1,P. astreoides,74
cbc 30N,2019,1,P. porites,5
cbc 30N,2019,1,P. furcata,
cbc 30N,2019,1,Sid. siderea,45
cbc 30N,2019,1,Sid. radians,
cbc 30N,2019,1,Stephanocoenia,8
cbc 30N,2019,1,tot colonies,237
cbc 30N,2019,2,Ag. agaricites,95
cbc 30N,2019,2,Ag. tenufolia,21
cbc 30N,2019,2,Ag fragilis,
cbc 30N,2019,2,Ag humilis,
cbc 30N,2019,2,Colpo. natans,
cbc 30N,2019,2,Dichocoenia ,
cbc 30N,2019,2,Dipl. clivosa,
cbc 30N,2019,2,Dipl. labyrinth.,
cbc 30N,2019,2,Dipl. strigosa,8
cbc 30N,2019,2,Eusmilia fast.,1
cbc 30N,2019,2,Favia fragum,
cbc 30N,2019,2,Isophyllia,
cbc 30N,2019,2,Helio cuc.,1
cbc 30N,2019,2,Madracis mir.,
