"","p","cumsum","average","sd","ratio","ava","avb","percent"
"A. agaricites",1e-04,0.208431469555477,0.0764400455319515,0.0308722742746597,2.47600953696807,7.64190891894983,3.27799233952368,20.8431469555477
"A. tenuifolia",1e-04,0.385213159873389,0.0648328224424854,0.0366562389131638,1.768670882904,4.39092863543568,0.824550207431735,17.6781690317912
"P. porites",1e-04,0.521498223831248,0.0499811113767097,0.0280779448251387,1.78008439321245,4.21488643592005,1.43179965541037,13.6285063957858
"P. astreoides",0.018,0.605714461811437,0.0308854180199593,0.0279862232195707,1.10359364240192,6.25608995720998,5.17651208649434,8.42162379801893
"Orbicella spp.",1e-04,0.689895335462463,0.0308724485248192,0.0233789735755246,1.3205219820745,2.94660239200683,1.45494194877387,8.41808736510261
"S. siderea",0.9998,0.75295416835257,0.0231261626067869,0.0158405604255784,1.45993336002458,4.57640861141652,3.52518884609761,6.30588328901073
"S. intersepta",0.022,0.802392072503188,0.0181308304947283,0.0142227444350903,1.27477721177328,1.95257845261291,1.88770000284813,4.94379041506178
"P. strigosa",0.8143,0.843383184025121,0.0150330582892517,0.0112614256434891,1.33491609012605,1.07860812415313,0.890254419302935,4.09911115219332
"M. cavernosa",0.6565,0.884257664619052,0.0149902851251707,0.0112828249241818,1.32859325797415,1.38172297277957,1.2911947457661,4.08744805939308
"D. labyrinthiformis",0.2268,0.906703427972475,0.00823174723276787,0.0100298216842531,0.820727176604924,0.425380791638466,0.166666666666667,2.24457633534227
"M. decactis",0.9876,0.925153655636895,0.00676642661374985,0.0127105237560606,0.532348370815446,0.387482860816009,0.0555555555555556,1.84502276644205
"H. cucullata",0.999,0.942910171763984,0.00651201521602381,0.0107325119632233,0.606755924273675,0.405140485549108,0,1.77565161270884
"D. stokesii",1,0.958692341077324,0.00578794432279137,0.00864294560649333,0.669672654013114,0.166666666666667,0.245234086798505,1.57821693133401
"S. radians",0.1178,0.972992186002172,0.00524431747032459,0.00887478988428059,0.59092300084913,0.31844726708716,0,1.42998449248479
"A. fragilis",0.0623,0.986689714820064,0.00502342438379357,0.00884348721992818,0.568036596748128,0.166666666666667,0.157134840263677,1.36975288178924
"Isophyllia spp.",0.4219,0.99232023237682,0.00206493299368271,0.00588064714628477,0.351140434431145,0,0.111111111111111,0.563051755675596
"M. auretenra",0.6358,0.99699821740605,0.00171560172460865,0.00503410551079698,0.340795742347689,0.0555555555555556,0.0555555555555556,0.467798502922952
"E. fastigiata",0.9999,1,0.00110087214108283,0.00455220800948213,0.241832565381401,0.0555555555555556,0,0.300178259395027
"C. natans",0.96,1,0,0,NA,0,0,0
"P. clivosa",0.8909,1,0,0,NA,0,0,0
"F. fragum",0.668,1,0,0,NA,0,0,0
"M. meandrites",1,1,0,0,NA,0,0,0
"Mycetophyllia spp.",0.9312,1,0,0,NA,0,0,0
